LandUse,No_bee_value,Woodland_coniferous,Woodland_decidious,Urban,Crop_nonflowering,Grassland_improved,Grassland_seminatural,Crop_osr_autumn,Crop_osr_spring,Crop_sunflower,Crop_beans,Crop_potato,Crop_clover,Crop_salix,Crop_berry,Crop_fruits,Garden,Crop_flax
barley_(autumn),,,,,1,,,,,,,,,,,,,
barley_(spring),,,,,1,,,,,,,,,,,,,
oats,,,,,1,,,,,,,,,,,,,
wheat_(autumn),,,,,1,,,,,,,,,,,,,
wheat_(spring),,,,,1,,,,,,,,,,,,,
mixed_crops,,,,,1,,,,,,,,,,,,,
triticale,,,,,1,,,,,,,,,,,,,
rye,,,,,1,,,,,,,,,,,,,
maize,,,,,1,,,,,,,,,,,,,
buckwheat,,,,,,,,,,,,,,,,,,
cereal_trials,,,,,1,,,,,,,,,,,,,
mixed_crops_(grains),,,,,1,,,,,,,,,,,,,
mixed_crops_(grains_>50%/leguminous_plants),,,,,,1,,,,,,,,,,,,
Canary-grass,,,,,1,,,,,,,,,,,,,
millet,,,,,,,,,,,,,,,,,,
grains_for_fodder,,,,,1,,,,,,,,,,,,,
bird_field,,,,,1,,,,,,,,,,,,,
"pasture,_no_single_payment_scheme,_no_compensatory_allowance",,,,,,,1,,,,,,,,,,,
"mown_meadow,_no_single_payment_scheme,_no_compensatory_allowance",,,,,,,1,,,,,,,,,,,
oil-seed_rape_(autumn),,,,,,,,1,,,,,,,,,,
oil-seed_rape_(spring),,,,,,,,,1,,,,,,,,,
turnip_rape_(autumn),,,,,,,,1,,,,,,,,,,
turnip_rape_(spring),,,,,,,,,1,,,,,,,,,
sunflower,,,,,,,,,,1,,,,,,,,
oilseed_trials,,,,,,,,1,,,,,,,,,,
high_eruca_rape,,,,,,,,1,,,,,,,,,,
white_mustard,,,,,,,,,1,,,,,,,,,
oilseed_(fodder)_radish,,,,,,,,,1,,,,,,,,,
none29,1,,,,,,,,,,,,,,,,,
peas_(non-tinned),,,,,,,,,,,1,,,,,,,
peas_(tinned),,,,,,,,,,,1,,,,,,,
broad_bean,,,,,,,,,,,1,,,,,,,
sweet_lupin,,,,,,,,,,,1,,,,,,,
protein-rich_mixed_crops_(legumes/grains),,,,,,1,,,,,,,,,,,,
brown_beans,,,,,,,,,,,1,,,,,,,
vetch,,,,,,,,,,,,,,,,,,
chickpea,,,,,,,,,,,1,,,,,,,
soybean_(oilseed),,,,,,,,,,,1,,,,,,,
soybean_(fodder),,,,,,,,,,,1,,,,,,,
linseed,,,,,,,,,,,,,,,,,,1
flax,,,,,,,,,,,,,,,,,,1
hemp,,,,,,,,,,,,,,,,,,
none43,1,,,,,,,,,,,,,,,,,
starch_potatoe_(non-contract),,,,,,,,,,,,1,,,,,,
ware_potatoe,,,,,,,,,,,,1,,,,,,
potatoe_(processing),,,,,,,,,,,,1,,,,,,
sugar_beets,,,,,1,,,,,,,,,,,,,
fodder_beets_(mangel_beets),,,,,1,,,,,,,,,,,,,
non-approved_ley_(contains_non-ley_species),,,,,,1,,,,,,,,,,,,
ley,,,,,,1,,,,,,,,,,,,
ley__(non_eligible_for_agri-environmental_scheme_for_cultivated_grasslands),,,,,,1,,,,,,,,,,,,
pasture,,,,,,,1,,,,,,,,,,,
mown_meadow,,,,,,,1,,,,,,,,,,,
forest_pasture,,,,,,,1,,,,,,,,,,,
mountain_pasture_(non-eligible_for_single_payment_scheme),,,,,,,1,,,,,,,,,,,
alvar_pasture,,,,,,,1,,,,,,,,,,,
ley_(contracted_with_fodder_drying),,,,,,1,,,,,,,,,,,,
seed_ley_(annual),,,,,,,,,,,,,1,,,,,
seed_ley_(perennial),,,,,,1,,,,,,,,,,,,
fallow,,,,,,1,,,,,,,,,,,,
fallow_(perennial),,,,,,,1,,,,,,,,,,,
fallow,,,,,,,1,,,,,,,,,,,
reed_canarygrass,,,,,,1,,,,,,,,,,,,
reed_canarygrass_(other),,,,,,1,,,,,,,,,,,,
Salix,,,,,,,,,,,,,,1,,,,
adapted_reduced_leakage_zone,,,,,,1,,,,,,,,,,,,
poplar,,,,,,,,,,,,,,1,,,,
hybrid_aspen,,,,,,,,,,,,,,1,,,,
biodiversity_fallow,,,,,,1,,,,,,,,,,,,
strawberry,,,,,,,,,,,,,,,1,,,
berries_(other),,,,,,,,,,,,,,,1,,,
fruits,,,,,,,,,,,,,,,,1,,
garden_plants,,,,,,,,,,,,,,,,,1,
vegetable_crops,,,,,,,,,,,,,,,,,1,
riparian_strip,,,,,,1,,,,,,,,,,,,
riparian_strip,,,,,,1,,,,,,,,,,,,
riparian_strip_(within_agri-environmental_scheme_for_riparian_strips),,,,,,1,,,,,,,,,,,,
nurseries_for_permanent_crops,,,,,,,,,,,,,,,,,1,
aromatic_herbs_and_vegetable_seeds,,,,,,,,,,,,,,,,,1,
forage_(green_fodder),,,,,,1,,,,,,,,,,,,
green_manure,,,,,,1,,,,,,,,,,,,
wetlands,1,,,,,,,,,,,,,,,,,
christmas_trees,,1,,,,,,,,,,,,,,,,
afforestation,,1,,,,,,,,,,,,,,,,
horticulture_(non-household_vegetables),,,,,,,,,,,,,,,,,1,
non-eligible_crop_(within_agri-environmental_scheme_for_organic_farming),,,,,1,,,,,,,,,,,,,
_other_eligible_crop_(within_agri-environmental_scheme_for_organic_farming),,,,,1,,,,,,,,,,,,,
other_landuse_(arable_field),,,,,1,,,,,,,,,,,,,
other_landuse_(pasture),,,,,,,1,,,,,,,,,,,
none90,1,,,,,,,,,,,,,,,,,
non-approved_crop_(arable_field),,,,,1,,,,,,,,,,,,,
non-approved_crop_(pasture),,,,,,,1,,,,,,,,,,,
non-approved_crop_(other_land),,,,,1,,,,,,,,,,,,,
flooded_land,1,,,,,,,,,,,,,,,,,
pasture_under_restoration_(within_agri-environmental_scheme_for_selected_environment),,,,,,,1,,,,,,,,,,,
mosaic_pastures__(within_agri-environmental_scheme_for_selected_environment),,,,,,,1,,,,,,,,,,,
pasture_(non-eligible_for_single_payment_scheme),,,,,,,1,,,,,,,,,,,
mown_meadow_(non-eligible_for_single_payment_scheme),,,,,,,1,,,,,,,,,,,
crop_missing,,,,,1,,,,,,,,,,,,,
outside mapping area,1,,,,,,,,,,,,,,,,,
Open wetland,1,,,,,,,,,,,,,,,,,
Arable land,,,,,1,,,,,,,,,,,,,
Other open land without vegetation,1,,,,,,,,,,,,,,,,,
Other open land with vegetation,,,,,,,1,,,,,,,,,,,
"Developed land, building",,,,1,,,,,,,,,,,,,,
"Developed land, not road or building",1,,,,,,,,,,,,,,,,,
"Developed land, road",1,,,,,,,,,,,,,,,,,
Lake and watercourses,1,,,,,,,,,,,,,,,,,
Marine environment,1,,,,,,,,,,,,,,,,,
Pine forest not on wetland,,1,,,,,,,,,,,,,,,,
Spruce forest not on wetland,,1,,,,,,,,,,,,,,,,
Mixed coniferous not on wetland,,1,,,,,,,,,,,,,,,,
Mixed forest not on wetland,,,1,,,,,,,,,,,,,,,
Decidious forest not on wetland,,,1,,,,,,,,,,,,,,,
Decidious hardwood forest not on wetland,,,1,,,,,,,,,,,,,,,
Decidioius forest with deciduous hardwood forest not on wetland,,,1,,,,,,,,,,,,,,,
Temporarily non-forest not on wetland,,,,,,,,,,,,,,,,,,
Pine forest on wetland,,1,,,,,,,,,,,,,,,,
Spruce forest on wetland,,1,,,,,,,,,,,,,,,,
Mixed confiferous on wetland,,1,,,,,,,,,,,,,,,,
Mixed forest on wetland,,,1,,,,,,,,,,,,,,,
Deciduous forest on wetland,,,1,,,,,,,,,,,,,,,
Deciduous hardwood forest on wetland,,,1,,,,,,,,,,,,,,,
Decidious forest with deciduous hardwood forest on wetland,,,1,,,,,,,,,,,,,,,
Temporarily non-forest on wetland,,,,,,,,,,,,,,,,,,
